CMP_CD,CMP_KOR,SEC_NM_KOR,,,
A000120,CJ대한통운,산업재,,,
A000150,두산,산업재,,,
A000210,DL,산업재,,,
A000240,한국앤컴퍼니,경기관련소비재,,,
A000270,기아,경기관련소비재,,,
A000660,SK하이닉스,IT,,,
A000720,현대건설,산업재,,,
A000810,삼성화재,금융,,,
A000880,한화,소재,,,
A001040,CJ,산업재,,,
A001300,제일모직,경기관련소비재,,,
A001740,SK네트웍스,산업재,,,
A001800,오리온홀딩스,필수소비재,,,
A002380,KCC,산업재,,,
A002790,아모레G,경기관련소비재,,,
A003480,한진중공업홀딩스,산업재,,,
A003490,대한항공,산업재,,,
A003550,LG,산업재,,,
A003670,포스코퓨처엠,소재,,,
A004020,현대제철,소재,,,
A004170,신세계,경기관련소비재,,,
A004800,효성,소재,,,
A004940,외환은행,금융,,,
A004990,롯데지주,필수소비재,,,
A005380,현대차,경기관련소비재,,,
A005490,POSCO홀딩스,소재,,,
A005830,DB손해보험,금융,,,
A005930,삼성전자,IT,,,
A006360,GS건설,산업재,,,
A006400,삼성SDI,IT,,,
A006800,미래에셋증권,금융,,,
A008770,호텔신라,경기관련소비재,,,
A008930,한미사이언스,건강관리,,,
A009150,삼성전기,IT,,,
A009240,한샘,산업재,,,
A009540,HD한국조선해양,산업재,,,
A009830,한화솔루션,소재,,,
A010060,OCI홀딩스,소재,,,
A010130,고려아연,소재,,,
A010140,삼성중공업,산업재,,,
A010620,현대미포조선,산업재,,,
A010950,S-Oil,에너지,,,
A011070,LG이노텍,IT,,,
A011170,롯데케미칼,소재,,,
A011200,HMM,산업재,,,
A011210,현대위아,경기관련소비재,,,
A011780,금호석유,소재,,,
A012330,현대모비스,경기관련소비재,,,
A012450,한화에어로스페이스,산업재,,,
A012630,HDC,산업재,,,
A015760,한국전력,유틸리티,,,
A016360,삼성증권,금융,,,
A017670,SK텔레콤,커뮤니케이션서비스,,,
A018260,삼성에스디에스,IT,,,
A018880,한온시스템,경기관련소비재,,,
A019170,신풍제약,건강관리,,,
A021240,코웨이,경기관련소비재,,,
A023530,롯데쇼핑,경기관련소비재,,,
A024110,기업은행,금융,,,
A027410,BGF,경기관련소비재,,,
A028050,삼성엔지니어링,산업재,,,
A028260,삼성물산,산업재,,,
A028670,팬오션,산업재,,,
A029780,삼성카드,금융,,,
A030200,KT,커뮤니케이션서비스,,,
A032390,KTF,커뮤니케이션서비스,,,
A032640,LG유플러스,커뮤니케이션서비스,,,
A032710,LG카드,금융,,,
A032830,삼성생명,금융,,,
A033780,KT&G,필수소비재,,,
A034020,두산에너빌리티,산업재,,,
A034220,LG디스플레이,IT,,,
A034730,SK,산업재,,,
A035250,강원랜드,경기관련소비재,,,
A035420,NAVER,IT,,,
A035720,카카오,IT,,,
A036460,한국가스공사,유틸리티,,,
A036570,엔씨소프트,IT,,,
A037620,미래에셋증권,금융,,,
A042660,한화오션,산업재,,,
A042670,HD현대인프라코어,산업재,,,
A047040,대우건설,산업재,,,
A047050,포스코인터내셔널,산업재,,,
A047810,한국항공우주,산업재,,,
A051600,한전KPS,유틸리티,,,
A051900,LG생활건강,경기관련소비재,,,
A051910,LG화학,소재,,,
A052690,한전기술,유틸리티,,,
A053000,우리금융,금융,,,
A055550,신한지주,금융,,,
A060000,국민은행,금융,,,
A066570,LG전자,IT,,,
A068270,셀트리온,건강관리,,,
A078930,GS,에너지,,,
A081660,휠라홀딩스,경기관련소비재,,,
A086280,현대글로비스,산업재,,,
A086790,하나금융지주,금융,,,
A088350,한화생명,금융,,,
A090430,아모레퍼시픽,경기관련소비재,,,
A096770,SK이노베이션,에너지,,,
A097950,CJ제일제당,필수소비재,,,
A105560,KB금융,금융,,,
A128940,한미약품,건강관리,,,
A139480,이마트,경기관련소비재,,,
A161390,한국타이어앤테크놀로지,경기관련소비재,,,
A180640,한진칼,산업재,,,
A207940,삼성바이오로직스,건강관리,,,
A251270,넷마블,IT,,,
A259960,크래프톤,IT,,,
A267250,HD현대,산업재,,,
A271560,오리온,필수소비재,,,
A302440,SK바이오사이언스,건강관리,,,
A316140,우리금융지주,금융,,,
A323410,카카오뱅크,금융,,,
A326030,SK바이오팜,건강관리,,,
A329180,HD현대중공업,산업재,,,
A352820,하이브,커뮤니케이션서비스,,,
A361610,SK아이이테크놀로지,IT,,,
A373220,LG에너지솔루션,IT,,,
A377300,카카오페이,금융,,,
A402340,SK스퀘어,금융,,,
A900140,엘브이엠씨홀딩스,경기관련소비재,,,
