,2011-01-31,2011-03-04,2011-04-01,2011-04-29,2011-05-31,2011-06-29,2011-07-27,2011-08-25,2011-09-26,2011-10-25,2011-11-22,2011-12-20,2012-01-18,2012-02-17,2012-03-19,2012-04-17,2012-05-16,2012-06-15,2012-07-13,2012-08-10,2012-09-10,2012-10-10,2012-11-07,2012-12-05,2013-01-08,2013-02-05,2013-03-07,2013-04-04,2013-05-03,2013-06-03,2013-07-02,2013-07-30,2013-08-28,2013-09-30,2013-10-30,2013-11-27,2013-12-26,2014-01-27,2014-02-26,2014-03-26,2014-04-23,2014-05-26,2014-06-25,2014-07-23,2014-08-21,2014-09-23,2014-10-23,2014-11-20,2014-12-18,2015-01-20,2015-02-17,2015-03-20,2015-04-17,2015-05-19,2015-06-17,2015-07-15,2015-08-12,2015-09-10,2015-10-13,2015-11-10,2015-12-08,2016-01-08,2016-02-05,2016-03-10,2016-04-07,2016-05-10,2016-06-08,2016-07-06,2016-08-03,2016-09-01,2016-10-05,2016-11-02,2016-11-30,2016-12-28,2017-01-26,2017-02-27,2017-03-28,2017-04-25,2017-05-29,2017-06-27,2017-07-25,2017-08-23,2017-09-20,2017-10-26,2017-11-23,2017-12-21,2018-01-23,2018-02-22,2018-03-23,2018-04-20,2018-05-23,2018-06-22,2018-07-20,2018-08-20,2018-09-17,2018-10-22,2018-11-19,2018-12-17,2019-01-17,2019-02-19,2019-03-20,2019-04-17,2019-05-17,2019-06-17,2019-07-15,2019-08-12,2019-09-10,2019-10-14,2019-11-11,2019-12-09,2020-01-09,2020-02-10,2020-03-09,2020-04-06,2020-05-08,2020-06-05,2020-07-03,2020-07-31,2020-08-31,2020-09-28,2020-10-30,2020-11-27,2020-12-28,2021-01-27,2021-02-26,2021-03-29,2021-04-26,2021-05-26,2021-06-23,2021-07-21,2021-08-19,2021-09-16,2021-10-21,2021-11-18,2021-12-16,2022-01-14,2022-02-16,2022-03-18,2022-04-15,2022-05-16,2022-06-15,2022-07-13,2022-08-10,2022-09-08,2022-10-12,2022-11-09
0,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930,A005930
1,A005490,A005490,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A000660,A015760,A005380,A005380,A005380,A005380,A005380,A015760,A015760,A015760,A015760,A015760,A015760,A015760,A015760,A015760,A015760,A015760,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A373220,A000660,A373220,A373220,A373220,A373220,A373220,A373220,A373220,A373220
2,A005380,A005380,A005490,A005490,A009540,A005490,A005490,A005490,A005490,A012330,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A005490,A012330,A012330,A005490,A005490,A005490,A005490,A005490,A005490,A012330,A012330,A005490,A012330,A012330,A012330,A012330,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A005380,A000660,A015760,A015760,A015760,A015760,A015760,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A000660,A005380,A015760,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A068270,A068270,A068270,A005380,A068270,A068270,A068270,A068270,A068270,A068270,A068270,A068270,A005380,A051910,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A005380,A035420,A035420,A035420,A207940,A207940,A207940,A207940,A207940,A207940,A035420,A035420,A035420,A035420,A051910,A051910,A051910,A035420,A035420,A051910,A035420,A035720,A035420,A035420,A035420,A035420,A035420,A035420,A207940,A000660,A373220,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660
3,A009540,A009540,A009540,A009540,A005490,A012330,A012330,A012330,A012330,A005490,A012330,A012330,A012330,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A012330,A012330,A012330,A012330,A012330,A005490,A005490,A012330,A012330,A012330,A012330,A012330,A012330,A005490,A005490,A012330,A005490,A000660,A000660,A000660,A012330,A012330,A005490,A005490,A005490,A015760,A018260,A015760,A015760,A015760,A015760,A015760,A015760,A015760,A005380,A000660,A000660,A028260,A028260,A028260,A028260,A028260,A028260,A028260,A012330,A090430,A090430,A028260,A028260,A005380,A000660,A005380,A015760,A015760,A015760,A015760,A015760,A035420,A035420,A015760,A005490,A005490,A005490,A051910,A005490,A005380,A005380,A005380,A068270,A005380,A005490,A207940,A207940,A207940,A207940,A051910,A005380,A207940,A068270,A068270,A068270,A068270,A068270,A051910,A035420,A035420,A035420,A207940,A207940,A207940,A035420,A035420,A035420,A035420,A035420,A035420,A207940,A051910,A207940,A207940,A207940,A207940,A207940,A051910,A051910,A035420,A051910,A035420,A035720,A035720,A207940,A207940,A207940,A207940,A035420,A035420,A207940,A207940,A207940,A207940,A207940,A207940,A207940,A207940,A207940
4,A051910,A012330,A012330,A051910,A012330,A009540,A009540,A000270,A000270,A000270,A000270,A000270,A000270,A051910,A012330,A012330,A012330,A012330,A012330,A012330,A012330,A000270,A000270,A000270,A000270,A032830,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000660,A000660,A000660,A005490,A005490,A005490,A005490,A035420,A012330,A012330,A015760,A005490,A015760,A005490,A035420,A017670,A012330,A012330,A090430,A028260,A028260,A090430,A028260,A000660,A012330,A090430,A090430,A012330,A012330,A032830,A090430,A012330,A035420,A012330,A035420,A028260,A028260,A035420,A012330,A012330,A035420,A035420,A035420,A012330,A028260,A005490,A015760,A051910,A051910,A005490,A035420,A005490,A005490,A207940,A207940,A005490,A207940,A005380,A005490,A005380,A005380,A005490,A051910,A051910,A005380,A051910,A051910,A051910,A051910,A068270,A012330,A012330,A068270,A005380,A005380,A068270,A005380,A051910,A068270,A068270,A068270,A068270,A051910,A207940,A051910,A051910,A035420,A035420,A035420,A005380,A207940,A207940,A207940,A051910,A207940,A207940,A035720,A035720,A035720,A035720,A051910,A207940,A035420,A035420,A035420,A035420,A005380,A051910,A051910,A006400,A006400
5,A012330,A051910,A051910,A012330,A051910,A051910,A000270,A009540,A051910,A051910,A051910,A051910,A051910,A012330,A009540,A051910,A032830,A009540,A051910,A051910,A051910,A051910,A051910,A051910,A051910,A015760,A032830,A032830,A032830,A000660,A032830,A032830,A032830,A000660,A000660,A000270,A035420,A035420,A035420,A035420,A035420,A015760,A005490,A015760,A015760,A035420,A035420,A035420,A035420,A012330,A012330,A017670,A090430,A032830,A090430,A090430,A012330,A018260,A018260,A000270,A012330,A012330,A090430,A032830,A090430,A028260,A035420,A012330,A000660,A000660,A035420,A035420,A028260,A035420,A035420,A012330,A005490,A028260,A015760,A015760,A035420,A051910,A035420,A028260,A068270,A051910,A051910,A207940,A005490,A005490,A207940,A005380,A005490,A005380,A005490,A051910,A017670,A207940,A068270,A207940,A207940,A207940,A055550,A055550,A012330,A051910,A051910,A012330,A068270,A012330,A005380,A051910,A068270,A051910,A051910,A051910,A051910,A068270,A068270,A005380,A005380,A068270,A068270,A006400,A207940,A005380,A035720,A035720,A207940,A051910,A051910,A051910,A051910,A051910,A051910,A005380,A051910,A035720,A035720,A006400,A051910,A035420,A035420,A005380,A051910,A051910
6,A055550,A000270,A000270,A000270,A000270,A000270,A051910,A051910,A009540,A009540,A009540,A009540,A009540,A009540,A051910,A009540,A009540,A055550,A032830,A032830,A032830,A032830,A032830,A032830,A015760,A000270,A015760,A000660,A015760,A032830,A000660,A055550,A000660,A032830,A055550,A035420,A055550,A000270,A015760,A015760,A015760,A035420,A015760,A035420,A035420,A055550,A012330,A005490,A032830,A005490,A005490,A005490,A005490,A012330,A032830,A032830,A017670,A012330,A012330,A000660,A000660,A051910,A032830,A000660,A012330,A035420,A028260,A028260,A035420,A012330,A012330,A012330,A012330,A028260,A005490,A005490,A028260,A005490,A028260,A012330,A028260,A028260,A028260,A035420,A035420,A105560,A035420,A035420,A051910,A051910,A028260,A051910,A035420,A051910,A051910,A005490,A207940,A005490,A005490,A005490,A005490,A005490,A017670,A017670,A055550,A068270,A068270,A207940,A012330,A068270,A012330,A068270,A005380,A051900,A051900,A006400,A006400,A035720,A005380,A068270,A068270,A005380,A005380,A005380,A006400,A068270,A006400,A005380,A005380,A006400,A006400,A006400,A006400,A006400,A006400,A006400,A035720,A005380,A006400,A005380,A005380,A051910,A006400,A006400,A005380,A005380
7,A105560,A055550,A055550,A055550,A055550,A055550,A055550,A055550,A032830,A055550,A055550,A055550,A055550,A055550,A055550,A055550,A055550,A051910,A009540,A009540,A009540,A009540,A000660,A000660,A032830,A051910,A055550,A015760,A000660,A055550,A055550,A051910,A015760,A055550,A032830,A015760,A000270,A015760,A000270,A000270,A000270,A000270,A000270,A000270,A055550,A017670,A055550,A032830,A012330,A032830,A035420,A018260,A017670,A005490,A035420,A017670,A055550,A017670,A000270,A032830,A000270,A000660,A000660,A090430,A035420,A032830,A032830,A000660,A090430,A090430,A090430,A032830,A032830,A032830,A028260,A028260,A012330,A055550,A005490,A005490,A032830,A035420,A015760,A032830,A032830,A012330,A105560,A105560,A035420,A028260,A051910,A035420,A051910,A035420,A035420,A017670,A005380,A017670,A035420,A028260,A051900,A012330,A005490,A012330,A017670,A055550,A055550,A051910,A051910,A055550,A051910,A006400,A006400,A005380,A005380,A005380,A035720,A006400,A035720,A035720,A006400,A006400,A006400,A068270,A035720,A006400,A005380,A006400,A006400,A005380,A005380,A005380,A005380,A005380,A005380,A035720,A005380,A006400,A005380,A035720,A006400,A006400,A005380,A035420,A000270,A035420
8,A000270,A105560,A105560,A105560,A096770,A105560,A105560,A032830,A055550,A032830,A032830,A015760,A015760,A032830,A000660,A000660,A051910,A032830,A055550,A055550,A055550,A055550,A055550,A015760,A055550,A055550,A000660,A055550,A055550,A051910,A015760,A000660,A051910,A051910,A035420,A055550,A015760,A055550,A055550,A055550,A055550,A055550,A055550,A055550,A000270,A012330,A000270,A055550,A055550,A017670,A055550,A035420,A035420,A028260,A017670,A018260,A032830,A090430,A090430,A090430,A032830,A035420,A051910,A035420,A051910,A000270,A000660,A032830,A005490,A032830,A032830,A090430,A005490,A005490,A032830,A055550,A055550,A012330,A032830,A032830,A105560,A055550,A055550,A015760,A028260,A032830,A032830,A051910,A105560,A105560,A012330,A051900,A028260,A028260,A028260,A028260,A055550,A015760,A015760,A015760,A035420,A051900,A012330,A051900,A005490,A017670,A051900,A055550,A055550,A051910,A051900,A028260,A028260,A028260,A028260,A051900,A051900,A005380,A006400,A006400,A035720,A035720,A035720,A035720,A068270,A035720,A068270,A068270,A068270,A068270,A323410,A068270,A000270,A000270,A000270,A000270,A006400,A051910,A051910,A051910,A035720,A000270,A035720,A000270,A035420,A000270
9,A032830,A032830,A032830,A096770,A105560,A032830,A096770,A105560,A105560,A105560,A015760,A032830,A032830,A096770,A032830,A032830,A000660,A000660,A015760,A000660,A096770,A015760,A015760,A055550,A000660,A000660,A051910,A051910,A017670,A015760,A051910,A015760,A055550,A009540,A051910,A009540,A032830,A032830,A032830,A032830,A032830,A032830,A032830,A032830,A017670,A000270,A017670,A012330,A017670,A000270,A032830,A028260,A028260,A018260,A012330,A035420,A018260,A000270,A032830,A055550,A018260,A032830,A035420,A051910,A005490,A000660,A005490,A051900,A032830,A005490,A005490,A005490,A055550,A055550,A055550,A032830,A032830,A105560,A055550,A055550,A055550,A012330,A105560,A012330,A207940,A015760,A207940,A028260,A028260,A035420,A105560,A015760,A105560,A012330,A017670,A105560,A028260,A028260,A017670,A017670,A012330,A055550,A207940,A005490,A051900,A207940,A005490,A005490,A017670,A005490,A005490,A012330,A051900,A006400,A006400,A035720,A005380,A051900,A051900,A051900,A051900,A051900,A028260,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A068270,A000270,A068270,A323410,A323410,A005490,A000270,A000270,A000270,A000270,A000270,A035720,A000270,A035720,A068270,A068270
